setup,penetration_depth_mm,penetration_depth_m,penetration_depth_cm,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,static_sampled_volume_m3,static_sampled_volume_mm3,spoon_sample_volume_cm3,static_sampled_mass_kg,static_sampled_mass_g,static_sampled_mass_mg,n_subscans,integration_time_ms,acquisition_time_s,total_spectral_acquisition_time_s,spoon_interval_s,flip_frequency_hz,spoons_contributing,effective_sampled_mass_kg,effective_sample_size_g,effective_sampled_mass_mg,effective_sample_size_mg
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,500,10.0,5.0,5.0,2.0,0.5,2.5,4.908738521234052e-06,0.004908738521234052,4.908738521234052,4.908738521234052
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,3.2724923474893677e-06,0.0032724923474893677,3.2724923474893677,3.2724923474893677
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,500,10.0,5.0,5.0,4.0,0.25,1.25,2.454369260617026e-06,0.002454369260617026,2.454369260617026,2.454369260617026
B,0.2,0.0002,0.02,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,500,10.0,5.0,5.0,5.0,0.2,1.0,1.9634954084936205e-06,0.0019634954084936204,1.9634954084936205,1.9634954084936205
B,0.2,0.0002,0.02,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,1.0,1.0,5.0,1.1780972450961725e-05,0.011780972450961725,11.780972450961725,11.780972450961725
B,0.2,0.0002,0.02,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,2.0,0.5,2.5,5.890486225480862e-06,0.005890486225480863,5.8904862254808625,5.8904862254808625
B,0.2,0.0002,0.02,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,3.926990816987242e-06,0.003926990816987242,3.926990816987242,3.926990816987242
B,0.2,0.0002,0.02,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,4.0,0.25,1.25,2.945243112740431e-06,0.0029452431127404313,2.9452431127404313,2.9452431127404313
B,0.2,0.0002,0.02,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.926990816987241e-09,3.9269908169872414,0.003926990816987242,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,5.0,0.2,1.0,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,2.356194490192345
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,1.0,1.0,5.0,1.1780972450961725e-05,0.011780972450961725,11.780972450961725,11.780972450961725
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,2.0,0.5,2.5,5.890486225480862e-06,0.005890486225480863,5.8904862254808625,5.8904862254808625
